"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3965","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","O96006","196.0","1","0","0","0.68390032","false","0","O96006","0","0.0"
"3966","45","143","3.69180989","2.696E-5","0.27086985","0.0","2","6","false","Q9HCM9","195.0","2","0","0","0.70091001","false","0","Q9HCM9","36974","0.50259067"
"3967","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q92764","196.0","1","0","0","0.68390032","false","0","Q92764","0","0.0"
"3968","40","123","3.69552302","5.2E-6","0.27059769","0.0","2","7","false","Q14525","161.5","2","0","0","0.70049744","false","0","Q14525","19594","0.53322259"
"3969","40","121","3.76596648","2.207E-5","0.26553609","0.0","2","6","false","P10747","158.0","2","0","0","0.69267039","false","0","P10747","29644","0.50645161"
"3970","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","O60637","75.0","1","0","0","0.65689464","false","0","O60637","0","0.0"
"3971","55","200","3.75376618","4.946E-5","0.26639912","0.0","2","7","false","Q6P5Z2","236.5","2","0","0","0.69402598","false","0","Q6P5Z2","50176","0.50106383"
"3972","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P34741","75.0","1","0","0","0.65689464","false","0","P34741","0","0.0"
"3973","10","41","4.04614895","4.57E-6","0.24714859","0.0","2","7","false","Q9UPQ7","49.5","2","0","0","0.66153901","false","0","Q9UPQ7","4192","0.5"
"3974","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","Q9NX52","75.0","1","0","0","0.65689464","false","0","Q9NX52","0","0.0"
"3975","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","A8MVW0","75.0","1","0","0","0.65689464","false","0","A8MVW0","0","0.0"
"3976","35","111","3.77265012","1.432E-5","0.26506566","0.0","2","7","false","O75056","137.0","2","0","0","0.69192776","false","0","O75056","25208","0.5037037"
"3977","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","Q8WVP7","75.0","1","0","0","0.65689464","false","0","Q8WVP7","0","0.0"
"3978","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P29320","75.0","1","0","0","0.65689464","false","0","P29320","0","0.0"
"3979","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P54756","75.0","1","0","0","0.65689464","false","0","P54756","0","0.0"
