IDa	IDb
A8MWD9	Q96DF8
A8MWD9	Q9UNP9
A8MWD9	O60508
A8MWD9	O60306
A8MWD9	P62304
A8MWD9	Q8WVK2
A8MWD9	P09661
A8MWD9	Q8TEQ6
A8MWD9	O95926
A8MWD9	P08621
A8MWD9	P83876
A8MWD9	Q15696
A8MWD9	Q9Y3B4
A8MWD9	Q9H875
A8MWD9	Q16637
A8MWD9	P83369
A8MWD9	Q969L4
A8MWD9	O95400
A8MWD9	P62306
A8MWD9	Q15427
A8MWD9	Q8N954
A8MWD9	P62314
A8MWD9	P63162
A8MWD9	P14678
A8MWD9	P62310
A8MWD9	O14893
A8MWD9	Q9Y5U2
A8MWD9	Q96RS0
A8MWD9	P62318
A8MWD9	Q9UDW3
A8MWD9	Q86UT8
O43715	Q9Y255
O43715	Q9Y3B1
O43715	Q9NX70
O43715	Q96N28
O43715	P01591
Q15643	P31946
Q15643	P61981
Q15643	Q04917
Q99576	O75157
Q99576	Q15714
Q99576	Q9Y3Q8
Q99576	Q53EZ4
Q99576	Q9UHY1
O14949	P14927
O14949	P22695
O14949	O14548
O14949	P31930
O14949	P13073
O14949	Q9BQE3
O14949	P47985
O14949	P08574
O14949	Q9H7Z7
O14949	Q96DR5
O14949	P00156
O14949	P14854
O14949	P01877
O14949	P01037
O14949	P01036
UNKNOWN	O43149
UNKNOWN	Q5T447
UNKNOWN	O75152
UNKNOWN	Q9NYQ6
UNKNOWN	P51451
UNKNOWN	Q9Y4B6
UNKNOWN	Q6ZN55
UNKNOWN	Q8TDW7
UNKNOWN	Q14517
UNKNOWN	Q5SZK8
UNKNOWN	Q6V0I7
UNKNOWN	P54198
UNKNOWN	O60245
UNKNOWN	Q9Y6J0
UNKNOWN	Q96DT7
UNKNOWN	O43422
UNKNOWN	Q15554
UNKNOWN	Q00987
UNKNOWN	Q9NYB0
UNKNOWN	Q9BRT8
UNKNOWN	Q9NWS9
UNKNOWN	Q9HCU4
UNKNOWN	Q96IT1
UNKNOWN	Q86T24
UNKNOWN	Q8WXG9
UNKNOWN	Q9NPG1
UNKNOWN	Q49AR2
UNKNOWN	Q9UN70
UNKNOWN	Q9NYQ7
UNKNOWN	Q66K89
UNKNOWN	Q8NB15
UNKNOWN	Q96JQ0
Q9NRR8	O60841
Q9NRR8	Q99797
Q9NRR8	P60953
Q9NRR8	Q14192
Q9NRR8	Q9H0C5
P61024	P20248
P61024	Q9H211
P61024	P06493
P61024	P24941
P61024	Q00526
P61024	O95067
P61024	O75496
P61024	P24864
P61024	P63208
P61024	Q13616
P61024	P33552
P61024	P14635
P61024	Q13309
P61024	Q9UPZ9
P61024	O96020
P61024	Q05639
P61024	P38936
P61024	P46527
P61024	Q99640
P33552	P20248
P33552	P24941
P33552	P06493
P33552	Q9H211
P33552	O95067
P33552	P14635
P33552	O75496
P33552	P46527
P33552	Q99640
P33552	P24864
P14406	P13073
P14406	Q13472
P14406	P14854
P14406	Q7L592
P14406	Q5SXM8
P50238	Q16537
P50238	P04183
Q9NSA3	P35222
Q9NSA3	P26232
Q9NSA3	P25054
Q9NSA3	Q9UL42
Q9NSA3	O00142
Q9NSA3	P07738
UNKNOWN	Q9NWS8
UNKNOWN	P13284
Q5J5C9	Q9UBV2
Q5J5C9	P31327
Q5J5C9	Q13438
Q5J5C9	P12110
Q5J5C9	Q5HYA8
Q5J5C9	Q8N2E2
Q5J5C9	Q8WW35
Q96FX2	Q9BQC3
Q96FX2	O95260
Q96FX2	Q9UGK8
Q8N6N7	P12931
Q8N6N7	Q15067
Q8N6N7	Q9ULD0
Q8N6N7	P19086
Q8N6N7	P37235
Q8N6N7	Q8IWZ8
Q8N6N7	Q9ULP9
Q8N6N7	Q9NWQ8
Q9NRR3	Q99576
Q9NRR3	P60953
Q9NRR3	A1L4H1
Q9BUK0	P06703
Q7Z4G1	Q86X83
Q7Z4G1	Q9UBQ0
Q7Z4G1	Q7Z3J2
Q7Z4G1	Q567U6
Q7Z4G1	Q9Y6G5
Q7Z4G1	P55082
Q7Z4G1	Q9H0A8
Q7Z4G1	Q86VX2
Q7Z4G1	Q8TCE6
Q7Z4G1	Q14186
Q7Z4G1	O14972
Q7Z4G1	O60826
Q7Z4G1	P37198
Q7Z4G1	Q9GZQ3
Q7Z4G1	Q9NX08
Q7Z4G1	Q9P000
Q7Z4G1	Q9UBI1
Q7Z4G1	Q8N668
Q7Z4G1	Q6PCB8
Q7Z4G1	Q9H267
Q7Z4G1	O75461
P14854	P04271
P14854	P13073
P14854	P22695
P14854	P10606
P14854	Q8N4Q1
P14854	Q5TEC6
P63167	Q6AWC2
P63167	O60341
P63167	Q12888
P63167	O94964
P63167	Q9Y4B5
P63167	Q9P260
P63167	Q86UP2
P63167	Q32P44
P63167	Q9P2B4
P63167	Q8WZ74
P63167	Q8TDM6
P63167	Q14202
P63167	Q5VZL5
P63167	Q6NY19
P63167	Q5TF58
P63167	Q0D2I5
P63167	Q9ULQ0
P63167	Q5VSL9
P63167	P31323
P63167	Q8WVS4
P63167	Q14204
P63167	Q9H4H8
P63167	O43815
P63167	Q13033
P63167	Q9NRL3
P63167	Q9ULD9
P63167	O15014
P63167	Q99996
P63167	A0JNW5
P63167	Q9Y6G9
P63167	Q14149
P63167	Q86UE8
P63167	Q9UKI8
P63167	O75330
P63167	Q9NQX3
P63167	O94986
P63167	Q14789
P63167	Q9UHF7
P63167	Q63ZY3
P63167	Q14678
P63167	E9PL24
P63167	Q96SN8
P63167	Q4VCS5
P63167	Q8IY63
P63167	Q9Y2J4
P63167	Q6PGQ7
P63167	Q9NXR1
P63167	Q9GZM8
P63167	Q6PCB5
P63167	Q5VWQ0
P63167	Q12840
P63167	O14576
P63167	Q13409
P63167	Q9UPV9
P63167	O75665
P63167	Q6DT37
P63167	Q96RU2
P63167	O95789
P63167	P22612
P63167	P22694
P63167	Q6P1L5
P63167	Q9C073
P63167	Q96R06
P63167	O43237
P63167	Q13426
P63167	Q8IZ40
P63167	Q9P2K3
P63167	Q9UKL0
P63167	Q9C0I3
P63167	Q86UW6
P63167	Q6PIJ6
P63167	Q8N302
P63167	Q96FJ2
P63167	O14867
P63167	Q9UBW7
P63167	Q5SQ80
P63167	Q4UJ75
P63167	Q9UPQ7
P63167	Q01850
P63167	Q93073
P63167	Q9Y3A3
P63167	Q9H7U1
P63167	Q86VQ1
P63167	P98170
P63167	Q9ULV3
P63167	Q8TD19
P63167	Q8NEZ4
P63167	P49023
P63167	Q9BWV3
P63167	Q8WW35
P63167	Q504U0
P63167	Q86X02
P63167	Q9Y448
P63167	Q8WUF8
P63167	Q9NR82
P63167	Q96JN2
P63167	Q8TB52
P63167	O96015
P63167	Q13627
P63167	Q9P2F5
P63167	Q96EX3
P63167	Q6NT76
P63167	O43313
P63167	Q8NAN2
P63167	Q9H2P0
P63167	Q5VUB5
P63167	A8MVW0
P63167	O75618
P63167	O75054
P63167	Q07820
P63167	Q9H1Z4
P63167	Q9P2R6
P63167	Q07817
P63167	O43521
P63167	Q9H4P4
Q96FJ2	Q6AWC2
Q96FJ2	O60341
Q96FJ2	Q12888
Q96FJ2	O94964
Q96FJ2	Q9Y4B5
Q96FJ2	Q9P260
Q96FJ2	Q32P44
Q96FJ2	Q8TDM6
Q96FJ2	Q5VZL5
Q96FJ2	Q14202
Q96FJ2	Q5TF58
Q96FJ2	Q0D2I5
Q96FJ2	Q9ULQ0
Q96FJ2	Q5VSL9
Q96FJ2	P31323
Q96FJ2	Q8WVS4
Q96FJ2	Q14204
Q96FJ2	Q96CV9
Q96FJ2	Q9ULE6
Q96FJ2	O43815
Q96FJ2	Q13033
Q96FJ2	Q9NRL3
Q96FJ2	Q8NEZ4
Q96FJ2	Q9ULD9
Q96FJ2	O15014
Q96FJ2	Q99996
Q96FJ2	A0JNW5
Q96FJ2	Q9Y6G9
Q96FJ2	Q14149
Q96FJ2	O75330
Q96FJ2	Q5TYW2
Q96FJ2	Q5SQ80
Q96FJ2	Q86UE8
Q96FJ2	Q9UKI8
Q96FJ2	Q9NQX3
Q96FJ2	O94986
Q96FJ2	Q14789
Q96FJ2	Q9UHF7
Q96FJ2	Q63ZY3
Q96FJ2	Q14678
Q96FJ2	Q9P2B4
Q96FJ2	Q8WZ74
Q96FJ2	Q86VP1
Q96FJ2	E9PL24
Q96FJ2	Q96SN8
Q96FJ2	Q4VCS5
Q96FJ2	Q8IY63
Q96FJ2	Q9Y2J4
Q96FJ2	Q6PGQ7
Q96FJ2	Q9NSC5
Q96FJ2	Q9NXR1
Q96FJ2	Q6PCB5
Q96FJ2	Q5VWQ0
Q96FJ2	Q93073
Q96FJ2	Q9UN30
Q96FJ2	Q13426
Q96FJ2	Q12840
Q96FJ2	O14576
Q96FJ2	Q13409
Q96FJ2	Q9UPV9
Q96FJ2	Q9Y3A3
Q96FJ2	Q9UHP3
Q96FJ2	O15550
Q96FJ2	Q6DT37
Q96FJ2	Q96RU2
Q96FJ2	Q8IX03
Q96FJ2	Q9C073
Q96FJ2	Q8NEL9
Q96FJ2	Q6P1L5
Q96FJ2	Q86W92
Q96FJ2	O75665
Q96FJ2	O60678
Q96FJ2	O95789
Q96FJ2	Q9NR28
Q96FJ2	Q96R06
Q96FJ2	O43237
Q96FJ2	Q8N302
Q96FJ2	Q86UW6
Q96FJ2	Q8IZ40
Q96FJ2	Q9P2K3
Q96FJ2	Q9UKL0
Q96FJ2	Q96NB1
Q96FJ2	Q6PIJ6
Q96FJ2	O14867
Q96FJ2	Q9UBW7
Q96FJ2	Q9UPQ7
Q96FJ2	Q01850
Q96FJ2	Q99550
Q96FJ2	P22612
Q96FJ2	P22694
Q96FJ2	P98170
Q96FJ2	Q9ULV3
Q96FJ2	Q8TD19
Q96FJ2	Q9Y4F5
Q96FJ2	P49023
Q96FJ2	Q8WW35
Q96FJ2	Q86VQ1
Q96FJ2	Q9NVV4
Q96FJ2	P53804
Q96FJ2	Q96JN2
Q96FJ2	Q86X02
Q96FJ2	Q9H4H8
Q96FJ2	Q9Y448
Q96FJ2	Q8WUF8
Q96FJ2	Q9BUG6
Q96FJ2	Q9NR82
Q96FJ2	O43313
Q96FJ2	Q6ZW49
Q96FJ2	Q8TB52
Q96FJ2	O96015
Q96FJ2	Q13627
Q96FJ2	Q9BWV3
Q96FJ2	Q96EX3
Q96FJ2	Q9H2P0
Q96FJ2	Q9UPA5
Q96FJ2	O75618
Q96FJ2	Q5VUB5
Q96FJ2	A8MVW0
Q96FJ2	Q6NT76
Q96FJ2	Q9H1Z4
Q96FJ2	Q8NAN2
Q96FJ2	Q07820
Q96FJ2	Q6ZWJ1
Q96FJ2	Q9H7U1
Q96FJ2	Q8N1W2
Q96FJ2	Q9P266
Q96FJ2	Q9C0C7
Q96FJ2	P55199
Q96FJ2	P46937
Q96FJ2	Q5SYE7
Q96FJ2	Q07817
Q96FJ2	O43521
Q96FJ2	Q14686
Q96FJ2	Q9H4P4
UNKNOWN	Q9HD26
UNKNOWN	Q8IYQ7
UNKNOWN	Q9Y5K8
UNKNOWN	Q92597
UNKNOWN	Q9NRG1
UNKNOWN	Q9ULP0
UNKNOWN	Q9UGV2
UNKNOWN	O60575
UNKNOWN	P30047
P30047	Q04637
P30047	Q9Y450
P30047	O75147
P30047	Q7Z5L9
P30047	Q96RR4
P30047	Q5JSL3
P30047	Q2TAL8
P30047	Q70I54
P30047	Q8N0Z8
