Human Herpes
P49069 Herpes_target
P51149 Herpes_target
P62310 Herpes_target
P78332 Herpes_target
P78356 Herpes_target
P82909 Herpes_target
Q00526 Herpes_target
Q00534 Herpes_target
Q00535 Herpes_target
Q01831 Herpes_target
Q02218 Herpes_target
Q08AD1 Herpes_target
Q09328 Herpes_target
Q10471 Herpes_target
Q13308 Herpes_target
Q13748 Herpes_target
Q14195 Herpes_target
Q15042 Herpes_target
Q15386 Herpes_target
Q4G0N4 Herpes_target
Q4KMP7 Herpes_target
Q5SY16 Herpes_target
Q5T0T0 Herpes_target
Q5UCC4 Herpes_target
Q68D85 Herpes_target
Q6P587 Herpes_target
Q71F23 Herpes_target
Q7Z4Q2 Herpes_target
Q7Z5N4 Herpes_target
Q7Z6M1 Herpes_target
Q86XK2 Herpes_target
Q8IV63 Herpes_target
Q8IXW5 Herpes_target
Q8IZL8 Herpes_target
Q8N878 Herpes_target
Q8N8A2 Herpes_target
Q8N9R8 Herpes_target
Q8NB46 Herpes_target
Q8NDF8 Herpes_target
Q8TBX8 Herpes_target
Q8TCG1 Herpes_target
Q8WUD6 Herpes_target
Q8WV44 Herpes_target
Q8WYA0 Herpes_target
Q96B36 Herpes_target
Q96BQ5 Herpes_target
Q96C92 Herpes_target
Q96EE4 Herpes_target
Q96ER3 Herpes_target
Q96JN8 Herpes_target
Q96QU8 Herpes_target
Q96RR1 Herpes_target
Q99536 Herpes_target
Q9BRP8 Herpes_target
Q9BTW9 Herpes_target
Q9BV38 Herpes_target
Q9BYJ9 Herpes_target
Q9BZF2 Herpes_target
Q9GZT4 Herpes_target
Q9H5V9 Herpes_target
Q9NPG3 Herpes_target
Q9NTJ5 Herpes_target
Q9NUW8 Herpes_target
Q9NXF1 Herpes_target
Q9NZC7 Herpes_target
Q9P000 Herpes_target
Q9P0P0 Herpes_target
Q9UGN5 Herpes_target
Q9UH99 Herpes_target
Q9UHW5 Herpes_target
Q9UI12 Herpes_target
Q9UIA9 Herpes_target
Q9UIL1 Herpes_target
Q9UPU5 Herpes_target
Q9UQ13 Herpes_target
Q9Y3E2 Herpes_target
Q9Y4C1 Herpes_target
Q9Y5L0 Herpes_target
Q9Y6Y8 Herpes_target
P20226 Herpes_target
O60684 Herpes_target
Q93009 Herpes_target
P52294 Herpes_target
Q7KZI7 Herpes_target
Q9UJX4 Herpes_target
Q92905 Herpes_target
P30260 Herpes_target
Q13042 Herpes_target
Q92558 Herpes_target
P26358 Herpes_target
Q9UM13 Herpes_target
Q9UII4 Herpes_target
Q15172 Herpes_target
P52756 Herpes_target
P28482 Herpes_target
Q12933 Herpes_target
P55265 Herpes_target
O96008 Herpes_target
Q7L2H7 Herpes_target
Q86X55 Herpes_target
P78346 Herpes_target
Q12874 Herpes_target
Q12873 Herpes_target
P18074 Herpes_target
A5YKK6 Herpes_target
Q9BS26 Herpes_target
P30101 Herpes_target
P05067 Herpes_target
P52292 Herpes_target
Q9NZN8 Herpes_target
P07237 Herpes_target
Q6PKC3 Herpes_target
P12004 Herpes_target
P17612 Herpes_target
