IDa	IDb
Q6P1M3	Q96C28
Q6P1M3	Q96CN9
Q6P1M3	Q96ST2
Q6P1M3	Q99698
Q6P1M3	Q99766
Q6P1M3	Q9BQ95
Q6P1M3	Q9BUB5
Q6P1M3	Q9BYG5
Q6P1M3	Q9C0J9
Q6P1M3	Q9H329
Q6P1M3	Q9NPB6
Q6P1M3	Q9NR09
Q6P1M3	Q9NV31
Q6P1M3	Q9P2X3
Q6P1M3	Q9UGU5
Q6P1M3	Q9ULL1
Q6P1M3	Q9UQ84
Q6P1M3	Q9Y4B6
P29033	O60493
P29033	P02786
P29033	P25106
P29033	P29033
P29033	Q13200
P29033	Q7L804
P29033	Q8NI35
P29033	Q92508
P29033	Q96K37
P29033	Q96QD8
P29033	Q9H3R2
P29033	Q9H6X2
P29033	Q9HAW4
P29033	Q9UKS6
Q96DE5	P60006
Q96DE5	P30260
Q96DE5	P06493
Q96DE5	P14635
Q96DE5	P47224
Q96DE5	Q12834
Q96DE5	Q13042
Q96DE5	Q63ZY3
Q96DE5	Q8NHZ8
Q96DE5	Q8TAE8
Q96DE5	Q96DE5
Q96DE5	Q9BS18
Q96DE5	Q9H1A4
Q96DE5	Q9UJX2
Q96DE5	Q9UJX3
Q96DE5	Q9UJX4
Q96DE5	Q9UJX5
Q96DE5	Q9UJX6
Q96DE5	Q9UM11
Q96DE5	Q9UM13
Q15003	Q96TA2
Q15003	Q13268
Q15003	G3V325
Q15003	Q96I15
Q15003	O95347
Q15003	Q14674
Q15003	Q15003
Q15003	Q15021
Q15003	Q6UB35
Q15003	Q8TED0
Q15003	Q96SB4
Q15003	Q9BPX3
Q15003	Q9BTT4
Q15003	Q9C086
Q15003	Q9H0A0
Q15003	Q9NTJ3
Q15003	Q9UHV9
Q15003	Q9ULF5
Q15003	Q9Y2P8
P33981	Q9P2D0
P33981	Q9GZZ1
P33981	O00139
P33981	P33981
P33981	P46939
P33981	P62424
P33981	Q14674
P33981	Q8TEQ6
P33981	Q9UII4
Q92574	P11216
Q92574	P17036
Q92574	P49815
Q92574	P50570
Q92574	P51398
